Park	State	Area	Year	Month	Recreation Visitors
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	6/1/2004	1076888
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	7/1/2004	1355683
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	8/1/2004	1002046
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	9/1/2004	876758
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	10/1/2004	1158267
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	11/1/2004	630539
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	12/1/2004	467433
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	1/1/2005	345009
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	2/1/2005	347144
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	3/1/2005	524650
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	4/1/2005	652265
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	5/1/2005	767056
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	6/1/2005	1124130
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	7/1/2005	1333994
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	8/1/2005	997352
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	9/1/2005	854342
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	10/1/2005	1054311
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	11/1/2005	721684
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	12/1/2005	470540
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	1/1/2006	363998
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	2/1/2006	332912
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	3/1/2006	557555
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	4/1/2006	725298
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	5/1/2006	732978
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	6/1/2006	1113186
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	7/1/2006	1280865
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	8/1/2006	920331
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	9/1/2006	928487
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	10/1/2006	1128927
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	11/1/2006	702589
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	12/1/2006	502089
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	1/1/2007	350818
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	2/1/2007	342540
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	3/1/2007	564878
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	4/1/2007	701353
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	5/1/2007	810438
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	6/1/2007	1116371
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	7/1/2007	1313210
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	8/1/2007	1011693
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	9/1/2007	951432
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	10/1/2007	1092798
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	11/1/2007	677203
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	12/1/2007	439519
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	1/1/2008	322865
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	2/1/2008	340558
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	3/1/2008	553078
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	4/1/2008	628593
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	5/1/2008	783847
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	6/1/2008	1063589
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	7/1/2008	1257396
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	8/1/2008	1049206
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	9/1/2008	819816
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	10/1/2008	1096711
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	11/1/2008	652023
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	12/1/2008	476328
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	1/1/2009	323614
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	2/1/2009	334515
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	3/1/2009	521140
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	4/1/2009	770585
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	5/1/2009	788974
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	6/1/2009	1181938
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	7/1/2009	1404034
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	8/1/2009	1035277
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	9/1/2009	845655
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	10/1/2009	1052137
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	11/1/2009	708797
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	12/1/2009	524771
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	1/1/2010	303318
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	2/1/2010	239587
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	3/1/2010	505950
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	4/1/2010	848946
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	5/1/2010	792980
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	6/1/2010	1359978
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	7/1/2010	1403978
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	8/1/2010	947311
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	9/1/2010	845410
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	10/1/2010	1252357
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	11/1/2010	621211
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	12/1/2010	342512
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	1/1/2011	214609
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	2/1/2011	315206
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	3/1/2011	502501
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	4/1/2011	690037
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	5/1/2011	727237
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	6/1/2011	1121001
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	7/1/2011	1342491
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	8/1/2011	1002603
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	9/1/2011	882269
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	10/1/2011	1133530
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	11/1/2011	605743
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	12/1/2011	471603
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	1/1/2012	269282
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	2/1/2012	353390
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	3/1/2012	611326
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	4/1/2012	745545
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	5/1/2012	799760
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	6/1/2012	1202056
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	7/1/2012	1392067
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	8/1/2012	1081025
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	9/1/2012	982942
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	10/1/2012	1144273
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	11/1/2012	623636
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	12/1/2012	480527
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	1/1/2013	265633
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	2/1/2013	252437
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	3/1/2013	465594
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	4/1/2013	636677
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	5/1/2013	885960
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	6/1/2013	1321821
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	7/1/2013	1399567
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	8/1/2013	1040021
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	9/1/2013	1060237
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	10/1/2013	847616
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	11/1/2013	688430
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	12/1/2013	490702
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	1/1/2014	275353
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	2/1/2014	296451
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	3/1/2014	509454
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	4/1/2014	724987
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	5/1/2014	900900
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	6/1/2014	1305063
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	7/1/2014	1445328
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	8/1/2014	1213262
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	9/1/2014	978105
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	10/1/2014	1303450
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	11/1/2014	636596
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	12/1/2014	510327
Olympic NP	Washington	1442 sq. miles	1995	1/1/1995	97719
Olympic NP	Washington	1442 sq. miles	1995	2/1/1995	100477
Olympic NP	Washington	1442 sq. miles	1995	3/1/1995	110109
Olympic NP	Washington	1442 sq. miles	1995	4/1/1995	153225
Olympic NP	Washington	1442 sq. miles	1995	5/1/1995	264287
Olympic NP	Washington	1442 sq. miles	1995	6/1/1995	396072
Olympic NP	Washington	1442 sq. miles	1995	7/1/1995	664530
Olympic NP	Washington	1442 sq. miles	1995	8/1/1995	932892
Olympic NP	Washington	1442 sq. miles	1995	9/1/1995	436992
Olympic NP	Washington	1442 sq. miles	1995	10/1/1995	318603
Olympic NP	Washington	1442 sq. miles	1995	11/1/1995	107672
Olympic NP	Washington	1442 sq. miles	1995	12/1/1995	76037
Olympic NP	Washington	1442 sq. miles	1996	1/1/1996	73617
Olympic NP	Washington	1442 sq. miles	1996	2/1/1996	93292
Olympic NP	Washington	1442 sq. miles	1996	3/1/1996	120533
Olympic NP	Washington	1442 sq. miles	1996	4/1/1996	143606
Olympic NP	Washington	1442 sq. miles	1996	5/1/1996	275510
Olympic NP	Washington	1442 sq. miles	1996	6/1/1996	358829
Olympic NP	Washington	1442 sq. miles	1996	7/1/1996	469384
Olympic NP	Washington	1442 sq. miles	1996	8/1/1996	814468
Olympic NP	Washington	1442 sq. miles	1996	9/1/1996	548851
Olympic NP	Washington	1442 sq. miles	1996	10/1/1996	238398
Olympic NP	Washington	1442 sq. miles	1996	11/1/1996	117985
Olympic NP	Washington	1442 sq. miles	1996	12/1/1996	94250
Olympic NP	Washington	1442 sq. miles	1997	1/1/1997	109975
Olympic NP	Washington	1442 sq. miles	1997	2/1/1997	119749
Olympic NP	Washington	1442 sq. miles	1997	3/1/1997	128889
Olympic NP	Washington	1442 sq. miles	1997	4/1/1997	167671
Olympic NP	Washington	1442 sq. miles	1997	5/1/1997	368617
Olympic NP	Washington	1442 sq. miles	1997	6/1/1997	462510
Olympic NP	Washington	1442 sq. miles	1997	7/1/1997	629238
Olympic NP	Washington	1442 sq. miles	1997	8/1/1997	884173
Olympic NP	Washington	1442 sq. miles	1997	9/1/1997	506847
Olympic NP	Washington	1442 sq. miles	1997	10/1/1997	226600
Olympic NP	Washington	1442 sq. miles	1997	11/1/1997	129687
Olympic NP	Washington	1442 sq. miles	1997	12/1/1997	112753
Olympic NP	Washington	1442 sq. miles	1998	1/1/1998	106255
Olympic NP	Washington	1442 sq. miles	1998	2/1/1998	118009
Olympic NP	Washington	1442 sq. miles	1998	3/1/1998	133071
Olympic NP	Washington	1442 sq. miles	1998	4/1/1998	198924
Olympic NP	Washington	1442 sq. miles	1998	5/1/1998	264633
Olympic NP	Washington	1442 sq. miles	1998	6/1/1998	400120
Olympic NP	Washington	1442 sq. miles	1998	7/1/1998	624743
Olympic NP	Washington	1442 sq. miles	1998	8/1/1998	840990
Olympic NP	Washington	1442 sq. miles	1998	9/1/1998	472706
Olympic NP	Washington	1442 sq. miles	1998	10/1/1998	218287
Olympic NP	Washington	1442 sq. miles	1998	11/1/1998	104466
Olympic NP	Washington	1442 sq. miles	1998	12/1/1998	94803
Olympic NP	Washington	1442 sq. miles	1999	1/1/1999	100800
Olympic NP	Washington	1442 sq. miles	1999	2/1/1999	100475
Olympic NP	Washington	1442 sq. miles	1999	3/1/1999	114491
Olympic NP	Washington	1442 sq. miles	1999	4/1/1999	173515
Olympic NP	Washington	1442 sq. miles	1999	5/1/1999	314164
Olympic NP	Washington	1442 sq. miles	1999	6/1/1999	383547
Olympic NP	Washington	1442 sq. miles	1999	7/1/1999	557138
Olympic NP	Washington	1442 sq. miles	1999	8/1/1999	736542
Olympic NP	Washington	1442 sq. miles	1999	9/1/1999	393154
Olympic NP	Washington	1442 sq. miles	1999	10/1/1999	243335
Olympic NP	Washington	1442 sq. miles	1999	11/1/1999	113231
Olympic NP	Washington	1442 sq. miles	1999	12/1/1999	133874
Olympic NP	Washington	1442 sq. miles	2000	1/1/2000	107655
Olympic NP	Washington	1442 sq. miles	2000	2/1/2000	115064
Olympic NP	Washington	1442 sq. miles	2000	3/1/2000	126936
Olympic NP	Washington	1442 sq. miles	2000	4/1/2000	180927
Olympic NP	Washington	1442 sq. miles	2000	5/1/2000	298942
Olympic NP	Washington	1442 sq. miles	2000	6/1/2000	353597
Olympic NP	Washington	1442 sq. miles	2000	7/1/2000	496673
Olympic NP	Washington	1442 sq. miles	2000	8/1/2000	690936
Olympic NP	Washington	1442 sq. miles	2000	9/1/2000	427104
Olympic NP	Washington	1442 sq. miles	2000	10/1/2000	247361
Olympic NP	Washington	1442 sq. miles	2000	11/1/2000	138278
Olympic NP	Washington	1442 sq. miles	2000	12/1/2000	144249
Olympic NP	Washington	1442 sq. miles	2001	1/1/2001	137416
Olympic NP	Washington	1442 sq. miles	2001	2/1/2001	106761
Olympic NP	Washington	1442 sq. miles	2001	3/1/2001	123512
Olympic NP	Washington	1442 sq. miles	2001	4/1/2001	186515
Olympic NP	Washington	1442 sq. miles	2001	5/1/2001	263442
Olympic NP	Washington	1442 sq. miles	2001	6/1/2001	335889
Olympic NP	Washington	1442 sq. miles	2001	7/1/2001	538036
Olympic NP	Washington	1442 sq. miles	2001	8/1/2001	752472
Olympic NP	Washington	1442 sq. miles	2001	9/1/2001	427314
Olympic NP	Washington	1442 sq. miles	2001	10/1/2001	275194
Olympic NP	Washington	1442 sq. miles	2001	11/1/2001	138758
Olympic NP	Washington	1442 sq. miles	2001	12/1/2001	130760
Olympic NP	Washington	1442 sq. miles	2002	1/1/2002	98582
Olympic NP	Washington	1442 sq. miles	2002	2/1/2002	123199
Olympic NP	Washington	1442 sq. miles	2002	3/1/2002	121607
Olympic NP	Washington	1442 sq. miles	2002	4/1/2002	161563
Olympic NP	Washington	1442 sq. miles	2002	5/1/2002	263001
Olympic NP	Washington	1442 sq. miles	2002	6/1/2002	433902
Olympic NP	Washington	1442 sq. miles	2002	7/1/2002	699732
Olympic NP	Washington	1442 sq. miles	2002	8/1/2002	856987
Olympic NP	Washington	1442 sq. miles	2002	9/1/2002	420204
Olympic NP	Washington	1442 sq. miles	2002	10/1/2002	217635
Olympic NP	Washington	1442 sq. miles	2002	11/1/2002	158942
Olympic NP	Washington	1442 sq. miles	2002	12/1/2002	135956
Olympic NP	Washington	1442 sq. miles	2003	1/1/2003	117392
Olympic NP	Washington	1442 sq. miles	2003	2/1/2003	105632
Olympic NP	Washington	1442 sq. miles	2003	3/1/2003	123961
Olympic NP	Washington	1442 sq. miles	2003	4/1/2003	183861
Olympic NP	Washington	1442 sq. miles	2003	5/1/2003	226461
Olympic NP	Washington	1442 sq. miles	2003	6/1/2003	394437
Olympic NP	Washington	1442 sq. miles	2003	7/1/2003	522505
Olympic NP	Washington	1442 sq. miles	2003	8/1/2003	805921
Olympic NP	Washington	1442 sq. miles	2003	9/1/2003	388750
Olympic NP	Washington	1442 sq. miles	2003	10/1/2003	152942
Olympic NP	Washington	1442 sq. miles	2003	11/1/2003	87717
Olympic NP	Washington	1442 sq. miles	2003	12/1/2003	115748
Olympic NP	Washington	1442 sq. miles	2004	1/1/2004	113575
Olympic NP	Washington	1442 sq. miles	2004	2/1/2004	109916
Olympic NP	Washington	1442 sq. miles	2004	3/1/2004	107077
Olympic NP	Washington	1442 sq. miles	2004	4/1/2004	137681
Olympic NP	Washington	1442 sq. miles	2004	5/1/2004	223346
Olympic NP	Washington	1442 sq. miles	2004	6/1/2004	344345
Olympic NP	Washington	1442 sq. miles	2004	7/1/2004	399944
Olympic NP	Washington	1442 sq. miles	2004	8/1/2004	940156
Olympic NP	Washington	1442 sq. miles	2004	9/1/2004	341704
Olympic NP	Washington	1442 sq. miles	2004	10/1/2004	167016
Olympic NP	Washington	1442 sq. miles	2004	11/1/2004	99965
Olympic NP	Washington	1442 sq. miles	2004	12/1/2004	88997
Olympic NP	Washington	1442 sq. miles	2005	1/1/2005	87091
Olympic NP	Washington	1442 sq. miles	2005	2/1/2005	96880
Olympic NP	Washington	1442 sq. miles	2005	3/1/2005	118618
Olympic NP	Washington	1442 sq. miles	2005	4/1/2005	115228
Olympic NP	Washington	1442 sq. miles	2005	5/1/2005	313764
Olympic NP	Washington	1442 sq. miles	2005	6/1/2005	439694
Olympic NP	Washington	1442 sq. miles	2005	7/1/2005	452981
Olympic NP	Washington	1442 sq. miles	2005	8/1/2005	806537
Olympic NP	Washington	1442 sq. miles	2005	9/1/2005	348835
Olympic NP	Washington	1442 sq. miles	2005	10/1/2005	161829
Olympic NP	Washington	1442 sq. miles	2005	11/1/2005	104002
Olympic NP	Washington	1442 sq. miles	2005	12/1/2005	97315
Olympic NP	Washington	1442 sq. miles	2006	1/1/2006	91371
Olympic NP	Washington	1442 sq. miles	2006	2/1/2006	94011
Olympic NP	Washington	1442 sq. miles	2006	3/1/2006	99138
Olympic NP	Washington	1442 sq. miles	2006	4/1/2006	134679
Olympic NP	Washington	1442 sq. miles	2006	5/1/2006	228334
Olympic NP	Washington	1442 sq. miles	2006	6/1/2006	291704
Olympic NP	Washington	1442 sq. miles	2006	7/1/2006	426249
Olympic NP	Washington	1442 sq. miles	2006	8/1/2006	663496
Olympic NP	Washington	1442 sq. miles	2006	9/1/2006	334225
Olympic NP	Washington	1442 sq. miles	2006	10/1/2006	193254
Olympic NP	Washington	1442 sq. miles	2006	11/1/2006	111836
Olympic NP	Washington	1442 sq. miles	2006	12/1/2006	80900
Olympic NP	Washington	1442 sq. miles	2007	1/1/2007	94454
Olympic NP	Washington	1442 sq. miles	2007	2/1/2007	105116
Olympic NP	Washington	1442 sq. miles	2007	3/1/2007	110831
Olympic NP	Washington	1442 sq. miles	2007	4/1/2007	125060
Olympic NP	Washington	1442 sq. miles	2007	5/1/2007	308662
Olympic NP	Washington	1442 sq. miles	2007	6/1/2007	291907
Olympic NP	Washington	1442 sq. miles	2007	7/1/2007	405967
Olympic NP	Washington	1442 sq. miles	2007	8/1/2007	731346
Olympic NP	Washington	1442 sq. miles	2007	9/1/2007	387414
Olympic NP	Washington	1442 sq. miles	2007	10/1/2007	200700
Olympic NP	Washington	1442 sq. miles	2007	11/1/2007	142776
Olympic NP	Washington	1442 sq. miles	2007	12/1/2007	84453
Olympic NP	Washington	1442 sq. miles	2008	1/1/2008	85799
Olympic NP	Washington	1442 sq. miles	2008	2/1/2008	88928
Olympic NP	Washington	1442 sq. miles	2008	3/1/2008	121254
Olympic NP	Washington	1442 sq. miles	2008	4/1/2008	127008
Olympic NP	Washington	1442 sq. miles	2008	5/1/2008	253117
Olympic NP	Washington	1442 sq. miles	2008	6/1/2008	454678
Olympic NP	Washington	1442 sq. miles	2008	7/1/2008	469753
Olympic NP	Washington	1442 sq. miles	2008	8/1/2008	634421
Olympic NP	Washington	1442 sq. miles	2008	9/1/2008	358070
Olympic NP	Washington	1442 sq. miles	2008	10/1/2008	234011
Olympic NP	Washington	1442 sq. miles	2008	11/1/2008	157669
Olympic NP	Washington	1442 sq. miles	2008	12/1/2008	96743
Olympic NP	Washington	1442 sq. miles	2009	1/1/2009	108180
Olympic NP	Washington	1442 sq. miles	2009	2/1/2009	108615
Olympic NP	Washington	1442 sq. miles	2009	3/1/2009	130282
Olympic NP	Washington	1442 sq. miles	2009	4/1/2009	131420
Olympic NP	Washington	1442 sq. miles	2009	5/1/2009	296279
Olympic NP	Washington	1442 sq. miles	2009	6/1/2009	390715
Olympic NP	Washington	1442 sq. miles	2009	7/1/2009	511702
Olympic NP	Washington	1442 sq. miles	2009	8/1/2009	714948
Olympic NP	Washington	1442 sq. miles	2009	9/1/2009	408782
Olympic NP	Washington	1442 sq. miles	2009	10/1/2009	218816
Olympic NP	Washington	1442 sq. miles	2009	11/1/2009	143775
Olympic NP	Washington	1442 sq. miles	2009	12/1/2009	112945
Olympic NP	Washington	1442 sq. miles	2010	1/1/2010	95417
Olympic NP	Washington	1442 sq. miles	2010	2/1/2010	87317
Olympic NP	Washington	1442 sq. miles	2010	3/1/2010	114917
Olympic NP	Washington	1442 sq. miles	2010	4/1/2010	160423
Olympic NP	Washington	1442 sq. miles	2010	5/1/2010	224279
Olympic NP	Washington	1442 sq. miles	2010	6/1/2010	283713
Olympic NP	Washington	1442 sq. miles	2010	7/1/2010	515266
Olympic NP	Washington	1442 sq. miles	2010	8/1/2010	648734
Olympic NP	Washington	1442 sq. miles	2010	9/1/2010	329213
Olympic NP	Washington	1442 sq. miles	2010	10/1/2010	172354
Olympic NP	Washington	1442 sq. miles	2010	11/1/2010	147838
Olympic NP	Washington	1442 sq. miles	2010	12/1/2010	65092
Olympic NP	Washington	1442 sq. miles	2011	1/1/2011	81212
Olympic NP	Washington	1442 sq. miles	2011	2/1/2011	68228
Olympic NP	Washington	1442 sq. miles	2011	3/1/2011	105061
Olympic NP	Washington	1442 sq. miles	2011	4/1/2011	128660
Olympic NP	Washington	1442 sq. miles	2011	5/1/2011	282322
Olympic NP	Washington	1442 sq. miles	2011	6/1/2011	316535
Olympic NP	Washington	1442 sq. miles	2011	7/1/2011	514487
Olympic NP	Washington	1442 sq. miles	2011	8/1/2011	724884
Olympic NP	Washington	1442 sq. miles	2011	9/1/2011	380517
Olympic NP	Washington	1442 sq. miles	2011	10/1/2011	194130
Olympic NP	Washington	1442 sq. miles	2011	11/1/2011	91620
Olympic NP	Washington	1442 sq. miles	2011	12/1/2011	78846
Olympic NP	Washington	1442 sq. miles	2012	1/1/2012	65178
Olympic NP	Washington	1442 sq. miles	2012	2/1/2012	79292
Olympic NP	Washington	1442 sq. miles	2012	3/1/2012	96768
Olympic NP	Washington	1442 sq. miles	2012	4/1/2012	114970
Olympic NP	Washington	1442 sq. miles	2012	5/1/2012	287399
Olympic NP	Washington	1442 sq. miles	2012	6/1/2012	261427
Olympic NP	Washington	1442 sq. miles	2012	7/1/2012	527598
Olympic NP	Washington	1442 sq. miles	2012	8/1/2012	639436
Olympic NP	Washington	1442 sq. miles	2012	9/1/2012	417768
Olympic NP	Washington	1442 sq. miles	2012	10/1/2012	165809
Olympic NP	Washington	1442 sq. miles	2012	11/1/2012	83363
Olympic NP	Washington	1442 sq. miles	2012	12/1/2012	85900
Olympic NP	Washington	1442 sq. miles	2013	1/1/2013	77162
Olympic NP	Washington	1442 sq. miles	2013	2/1/2013	81808
Olympic NP	Washington	1442 sq. miles	2013	3/1/2013	119954
Olympic NP	Washington	1442 sq. miles	2013	4/1/2013	124456
Olympic NP	Washington	1442 sq. miles	2013	5/1/2013	274629
Olympic NP	Washington	1442 sq. miles	2013	6/1/2013	388581
Olympic NP	Washington	1442 sq. miles	2013	7/1/2013	460971
Olympic NP	Washington	1442 sq. miles	2013	8/1/2013	855663
Olympic NP	Washington	1442 sq. miles	2013	9/1/2013	373850
Olympic NP	Washington	1442 sq. miles	2013	10/1/2013	134726
Olympic NP	Washington	1442 sq. miles	2013	11/1/2013	89154
Olympic NP	Washington	1442 sq. miles	2013	12/1/2013	104386
Olympic NP	Washington	1442 sq. miles	2014	1/1/2014	80424
Olympic NP	Washington	1442 sq. miles	2014	2/1/2014	77894
Olympic NP	Washington	1442 sq. miles	2014	3/1/2014	106803
Olympic NP	Washington	1442 sq. miles	2014	4/1/2014	163050
Olympic NP	Washington	1442 sq. miles	2014	5/1/2014	282962
Olympic NP	Washington	1442 sq. miles	2014	6/1/2014	396184
Olympic NP	Washington	1442 sq. miles	2014	7/1/2014	585884
Olympic NP	Washington	1442 sq. miles	2014	8/1/2014	860611
Olympic NP	Washington	1442 sq. miles	2014	9/1/2014	394495
Olympic NP	Washington	1442 sq. miles	2014	10/1/2014	146288
Olympic NP	Washington	1442 sq. miles	2014	11/1/2014	75692
Olympic NP	Washington	1442 sq. miles	2014	12/1/2014	73585
Rocky Mountain NP	Colorado	415 sq. miles	1995	1/1/1995	72264
Rocky Mountain NP	Colorado	415 sq. miles	1995	2/1/1995	55526
Rocky Mountain NP	Colorado	415 sq. miles	1995	3/1/1995	62216
Rocky Mountain NP	Colorado	415 sq. miles	1995	4/1/1995	63517
